TransactionID,AccountID,TransactionType,Amount,TransactionDate
101110,784,Credit,71335.2,2019-09-19
146635,1174,Credit,37556.66,2022-02-05
122971,1430,Debit,527448.86,2021-11-27
136698,997,Credit,909883.33,2023-08-16
165884,1074,Debit,91260.1,2020-01-11
135320,1466,Debit,457292.74,2021-11-07
189060,1132,Debit,50905.23,2020-12-02
151175,900,Credit,307870.52,2022-03-01
138314,1354,Credit,226316.08,2024-01-22
190188,329,Debit,493403.2,2021-02-21
164955,1167,Debit,724970.7,2022-04-06
126280,523,Credit,685389.36,2020-01-24
157998,419,Credit,423121.33,2023-04-14
136997,233,Credit,102496.49,2021-03-22
111721,1046,Credit,667888.54,2019-09-03
143043,1089,Debit,817688.47,2020-02-07
112814,628,Credit,73931.12,2020-05-08
154774,235,Debit,145805.45,2022-08-27
179131,979,Credit,223629.8,2021-07-05
112304,1006,Credit,318095.7,2022-02-06
118820,870,Debit,38582.79,2019-12-21
138940,572,Credit,491535.56,2019-08-23
123019,1058,Credit,376195.38,2020-02-17
105430,748,Credit,198930.2,2020-07-08
120329,1444,Debit,59272.87,2020-03-21
119831,587,Credit,916797.86,2022-06-26
104095,334,Debit,353206.55,2020-08-08
116650,804,Credit,693522.32,2021-12-05
193684,232,Credit,953009.15,2020-11-06
166579,423,Credit,968381.11,2020-09-13
102193,704,Debit,620577.34,2019-08-14
105055,1494,Debit,299843.48,2023-11-17
128790,827,Credit,768474.55,2022-11-09
107394,1449,Credit,678527.52,2020-11-06
155180,740,Credit,212240.47,2021-09-11
135509,1038,Credit,456009.28,2023-09-14
101626,174,Debit,696723.17,2022-06-01
125073,1222,Debit,319541.42,2022-08-23
187744,429,Credit,643048.51,2021-09-20
142152,52,Credit,325657.5,2020-01-15
140198,1347,Debit,556971.25,2019-12-09
103076,1422,Credit,862669.02,2021-09-10
142908,683,Debit,710571.43,2022-07-11
178007,926,Credit,311104.88,2022-06-27
107879,737,Credit,477079.02,2023-02-26
183128,945,Debit,629502.29,2022-01-01
181433,35,Credit,836361.92,2022-12-29
185897,943,Credit,698045.24,2022-01-08
159091,1484,Credit,644369.02,2023-07-10
156615,685,Credit,414558.24,2019-04-20
116285,1389,Debit,653081.42,2022-11-22
129882,396,Debit,4436.55,2020-07-13
122967,35,Debit,462972.72,2022-04-07
130782,205,Credit,822251.75,2023-11-22
187550,1206,Debit,948816.42,2020-05-16
151275,1438,Credit,115157.75,2020-02-11
146817,281,Debit,640936.74,2022-07-29
137009,1445,Credit,450057.15,2022-02-22
174961,519,Credit,353618.58,2020-01-23
167794,585,Debit,261027.2,2023-08-03
176219,779,Credit,642208.24,2023-04-30
131359,68,Credit,716336.98,2021-10-22
186398,1136,Credit,872526.7,2022-10-03
126484,1466,Credit,787521.61,2023-05-05
113626,1411,Credit,27435.43,2020-07-18
105997,871,Credit,314541.3,2022-07-05
155541,1391,Debit,885344.15,2019-09-16
151114,636,Credit,306911.31,2019-06-28
107632,951,Debit,485691.44,2020-05-25
125772,530,Debit,200000.74,2023-09-20
177810,1161,Credit,671757.93,2021-05-24
179330,1316,Credit,644091.1,2022-01-27
144390,571,Debit,697689.47,2022-01-16
156139,685,Credit,570809.56,2022-12-20
123551,1426,Credit,489711.35,2023-09-24
180749,828,Credit,841732.19,2020-01-25
171294,968,Credit,152509.97,2022-06-16
130795,267,Debit,663093.33,2022-03-05
163931,787,Credit,154948.56,2021-12-13
147228,1214,Debit,856861.58,2022-10-18
199664,469,Debit,941173.03,2021-12-03
177969,354,Debit,445307.44,2021-05-27
194126,289,Debit,213270.5,2024-02-16
147919,671,Credit,65073.67,2020-06-07
168344,1408,Debit,42039.64,2020-12-19
129586,1008,Credit,790950.47,2021-08-24
138790,1004,Debit,816980.61,2022-02-17
150977,65,Debit,175965.8,2019-09-28
171159,366,Debit,139647.72,2021-01-23
156450,1350,Credit,223845.78,2021-08-20
151834,1033,Credit,797451.7,2022-12-07
147563,550,Credit,886187.61,2019-10-13
173484,1276,Debit,223714.04,2024-01-28
131304,868,Debit,759612.11,2019-12-04
148554,1145,Credit,33926.92,2020-07-25
181286,347,Debit,806721.76,2021-02-08
181086,1080,Credit,311536.75,2019-04-15
159861,204,Debit,560364.27,2021-12-20
131275,681,Debit,83714.39,2022-07-25
173856,267,Debit,482370.73,2020-07-21
155184,718,Credit,999738.26,2019-05-06
174279,1186,Debit,421954.98,2019-05-29
139152,912,Credit,198001.78,2020-04-15
101459,1458,Debit,773917.5,2022-03-24
114912,581,Credit,77430.33,2024-02-12
188451,112,Credit,500416.33,2021-01-12
157735,1247,Credit,589017.67,2020-07-22
163144,443,Debit,208046.16,2021-02-21
152574,73,Debit,511098.34,2020-01-22
169036,1169,Debit,506453.61,2022-03-08
140503,210,Credit,764394.74,2023-05-01
194018,370,Debit,236581.89,2023-03-27
179142,646,Credit,693332.69,2021-07-16
118641,1413,Debit,111148.98,2023-03-27
105672,59,Debit,29037.95,2019-05-15
163049,1014,Debit,977816.71,2020-01-02
192847,675,Credit,445653.01,2022-04-09
102324,144,Debit,37237.53,2020-02-04
163261,617,Credit,256134.03,2023-03-03
133577,373,Credit,478789.76,2021-05-21
139745,508,Debit,306972.05,2020-01-21
136009,11,Credit,634900.41,2023-07-17
192319,1254,Credit,10539.16,2021-11-26
135300,880,Credit,784483.48,2021-08-28
135654,109,Debit,464880.5,2021-07-16
148398,921,Credit,101683.56,2022-04-14
120038,385,Credit,377521.12,2023-06-13
126701,569,Debit,160227.44,2024-03-04
134350,1090,Debit,283143.67,2021-10-16
139397,1254,Credit,682494.92,2022-04-02
116429,161,Debit,630487.84,2020-12-21
193236,1434,Debit,544745.43,2019-11-09
173408,858,Credit,219821.6,2020-03-03
169910,562,Credit,913115.26,2022-11-07
116593,591,Debit,595854.89,2021-08-08
173525,632,Debit,107134.63,2021-04-29
176938,919,Debit,626370.27,2023-05-23
123184,1216,Debit,794952.57,2024-03-21
136464,604,Debit,646421.69,2019-08-29
183138,1107,Credit,371394.19,2022-02-14
159378,91,Credit,606716.72,2022-06-01
124535,838,Debit,338145.68,2021-06-08
184504,1136,Credit,817466.67,2021-10-26
148801,477,Credit,824423.22,2022-06-09
188308,936,Credit,165694.18,2023-05-07
183026,312,Credit,568593.16,2021-01-06
163078,267,Debit,149755.5,2019-11-18
103856,98,Debit,13353.21,2022-04-20
163058,1068,Credit,271290.06,2021-02-04
179744,611,Debit,8958.35,2023-05-21
182271,240,Credit,263093.59,2021-04-24
148932,968,Debit,762249.05,2023-11-28
191781,1351,Credit,438630.94,2021-04-07
102515,782,Debit,427349.86,2023-02-06
125015,555,Debit,269133.99,2020-07-07
160421,894,Credit,951832.78,2022-03-25
159941,452,Debit,439161.07,2021-10-15
112535,1143,Debit,295470.33,2020-08-12
148532,711,Debit,972560.43,2021-11-09
125324,134,Debit,866910.96,2023-11-26
187238,2,Credit,81146.78,2022-08-21
135503,716,Debit,137472.62,2019-04-19
197840,711,Credit,318507.72,2022-10-27
172126,1157,Credit,431681.08,2022-02-04
109220,1029,Credit,577633.61,2020-03-19
157252,1496,Debit,767042.0,2020-05-17
130298,1343,Debit,204156.16,2023-06-04
113193,701,Credit,741925.55,2021-10-08
184674,602,Credit,684471.41,2020-08-21
128169,499,Debit,313874.04,2020-05-15
152079,719,Debit,527722.82,2022-05-19
119666,939,Debit,551343.69,2020-06-11
154368,496,Debit,813554.6,2021-03-15
165320,1384,Debit,427365.41,2021-04-22
158916,909,Debit,233836.84,2023-07-18
108947,151,Credit,72450.65,2019-09-05
150890,1021,Credit,291482.95,2022-01-21
195676,642,Debit,902066.88,2021-05-07
114722,604,Debit,471939.88,2023-08-07
173857,1087,Credit,356338.59,2021-06-21
190138,1288,Debit,691259.37,2023-11-17
175995,582,Credit,380348.33,2021-12-11
165213,1139,Credit,8025.75,2023-10-05
163482,181,Credit,479535.42,2020-07-11
141955,372,Debit,854616.06,2023-04-28
118623,1087,Debit,224440.8,2022-03-11
194599,1408,Debit,227790.2,2020-11-19
134601,821,Debit,713361.39,2023-12-05
148993,264,Credit,479815.57,2023-01-22
188510,823,Debit,244095.41,2020-05-06
163406,756,Debit,287041.46,2019-04-09
165660,326,Credit,915378.07,2022-05-17
130454,1466,Debit,900560.2,2021-07-28
194277,1254,Credit,327488.89,2020-04-22
124322,1467,Debit,71573.53,2022-10-03
184846,836,Debit,337258.02,2021-04-27
135749,1457,Credit,973713.55,2021-11-09
101455,860,Credit,430698.35,2021-03-19
111533,1032,Debit,548317.54,2023-05-23
195237,197,Credit,123465.86,2020-06-07
125910,968,Debit,746835.71,2023-07-25
190350,296,Credit,532823.59,2022-02-13
117245,358,Credit,80091.63,2021-06-13
136732,987,Debit,526519.26,2021-08-14
184254,427,Credit,548115.3,2022-11-23
185539,59,Debit,31596.26,2021-04-22
180068,773,Credit,104970.11,2022-07-17
152495,1211,Credit,730650.65,2020-02-19
135727,1439,Credit,458557.72,2021-06-17
152953,1258,Debit,36511.82,2023-02-04
185507,1141,Debit,322763.15,2022-01-04
168410,316,Debit,656806.36,2021-12-20
142709,382,Credit,127476.39,2024-03-30
163771,71,Credit,744674.76,2019-12-08
102079,933,Debit,672265.69,2023-03-01
116672,938,Debit,730773.0,2023-12-19
190865,201,Debit,652276.21,2023-11-18
136615,1315,Debit,883689.25,2023-04-24
183123,1036,Debit,362262.66,2022-12-01
181537,1228,Debit,332452.9,2021-10-15
130796,981,Credit,797652.92,2023-11-13
179965,883,Credit,357722.45,2020-10-09
174195,1247,Credit,185115.37,2023-05-03
130205,918,Debit,900059.19,2021-03-05
136923,954,Credit,47568.14,2021-04-03
199229,939,Credit,202681.85,2019-04-23
175064,1022,Debit,894708.96,2024-03-16
120401,1115,Credit,169706.15,2022-06-12
162147,1371,Credit,205818.63,2021-01-27
167043,3,Credit,879956.43,2023-08-08
129117,898,Debit,413510.0,2023-01-22
111334,779,Credit,903570.87,2022-05-27
105918,1145,Credit,690428.23,2023-01-25
185788,1430,Debit,428636.33,2020-11-07
128253,410,Credit,879513.9,2019-07-21
134664,191,Credit,395877.85,2020-06-23
162207,1276,Debit,470872.04,2022-10-18
123598,386,Debit,971758.51,2020-10-04
188466,960,Credit,574969.33,2022-12-22
171848,180,Debit,320014.56,2023-11-22
172235,443,Credit,898806.2,2023-02-16
177787,1273,Credit,489087.02,2023-06-03
166885,1040,Debit,316727.87,2022-11-18
114217,462,Credit,626462.64,2023-11-13
173232,155,Debit,564485.82,2022-10-25
118653,607,Credit,226267.97,2021-11-10
170575,315,Debit,498881.73,2019-05-08
112945,956,Credit,651423.28,2022-06-10
147564,558,Debit,487914.12,2023-12-28
146385,994,Debit,964855.46,2023-02-12
199518,148,Debit,374407.05,2023-07-05
175921,478,Credit,563146.65,2021-12-26
197110,995,Debit,614775.22,2023-09-17
133741,951,Debit,365173.58,2020-11-10
199008,1,Credit,49121.39,2019-08-21
100634,182,Credit,759427.06,2022-09-10
122212,1174,Credit,279348.35,2021-04-27
152409,397,Credit,773091.75,2023-08-10
133102,815,Debit,560254.38,2021-10-11
171241,1359,Credit,973913.2,2020-09-13
157242,999,Credit,235438.13,2022-10-03
105178,95,Debit,906357.54,2022-08-02
103814,1462,Credit,587510.08,2023-12-08
179072,597,Credit,306163.09,2022-03-02
100690,150,Debit,997258.8,2020-01-22
176931,510,Credit,931634.37,2024-03-02
108845,490,Debit,428286.76,2021-05-19
105289,1344,Credit,951439.11,2021-10-13
142036,471,Credit,303461.18,2021-07-23
119521,1093,Credit,532170.74,2019-07-08
142648,425,Debit,586543.4,2020-06-14
143630,411,Credit,30012.33,2019-07-09
186203,702,Credit,924904.15,2024-03-26
129240,763,Debit,762383.47,2020-07-08
113832,1267,Debit,342144.49,2020-08-16
132331,441,Debit,797700.67,2022-04-02
117341,986,Credit,250181.86,2021-09-05
143682,298,Debit,857315.42,2019-12-19
161222,1118,Debit,151995.78,2022-10-11
196875,31,Credit,899363.13,2019-10-12
134005,802,Debit,558767.84,2021-10-15
167376,539,Debit,264501.55,2020-06-09
130103,328,Debit,334286.6,2023-05-07
190951,1263,Debit,466985.44,2020-01-15
124478,161,Debit,831029.43,2022-10-15
138334,595,Credit,852752.68,2022-05-21
153141,1374,Debit,619747.07,2024-01-04
136118,517,Debit,153315.38,2020-12-30
119397,1129,Debit,744832.65,2022-08-18
115328,180,Debit,753265.91,2021-12-01
169215,336,Debit,498203.05,2021-02-02
176229,1154,Debit,339007.72,2022-07-09
179073,713,Debit,780473.09,2022-06-23
197039,581,Credit,733031.6,2023-06-04
189630,568,Credit,639614.01,2020-01-12
104196,1325,Credit,608309.89,2021-03-04
144275,388,Debit,62745.44,2021-01-11
153279,611,Credit,298299.97,2022-11-10
129028,1092,Credit,52268.12,2022-07-17
120971,139,Debit,402177.88,2023-03-20
199595,1254,Debit,977631.53,2020-08-13
101891,213,Debit,363397.3,2021-02-01
124944,1418,Credit,30800.9,2022-09-18
165219,591,Credit,535419.75,2021-01-26
140628,121,Debit,299371.64,2022-05-23
135944,1343,Debit,494755.13,2022-04-21
181692,1058,Credit,198037.96,2022-06-01
134396,226,Credit,287356.5,2019-11-11
107496,30,Credit,387318.61,2023-04-19
186042,600,Debit,213606.12,2019-09-27
150946,521,Credit,648342.65,2019-10-01
118854,1185,Debit,426535.53,2023-11-23
138042,1187,Debit,794374.9,2021-03-08
186664,433,Debit,154453.74,2023-03-24
108205,984,Debit,106482.39,2021-03-31
123432,889,Credit,471406.05,2022-02-13
113520,1086,Debit,498906.12,2019-05-13
101823,1485,Debit,755962.63,2020-09-13
159984,565,Credit,276478.4,2023-01-31
151688,775,Debit,366125.72,2020-03-13
136536,696,Credit,844141.95,2019-10-21
111005,11,Credit,722166.37,2019-09-11
197287,649,Credit,88776.78,2019-07-30
179881,346,Credit,805896.23,2019-07-29
158945,827,Debit,71038.57,2022-07-22
151699,264,Credit,100295.31,2023-04-10
187936,218,Debit,940708.45,2022-09-27
116314,1152,Credit,328320.89,2022-06-09
187862,930,Debit,671172.0,2019-10-14
109161,1400,Debit,749799.88,2022-02-24
125204,65,Debit,164477.41,2023-07-27
167014,724,Credit,840376.81,2023-02-03
198548,1010,Credit,778670.92,2019-12-23
159190,716,Debit,474745.99,2023-04-15
142827,605,Credit,682140.49,2020-04-15
186127,717,Credit,317208.38,2019-09-19
166727,1109,Debit,206051.1,2022-02-11
109027,761,Credit,382044.29,2020-07-07
119785,365,Credit,778278.43,2019-06-03
184646,54,Debit,743999.57,2024-03-15
151407,1336,Credit,472762.78,2019-11-18
163691,57,Debit,907024.91,2022-11-30
157455,131,Credit,410300.91,2022-07-10
139878,355,Debit,169748.51,2021-12-23
198389,382,Credit,770472.41,2019-04-07
186299,758,Debit,535337.21,2020-03-02
106143,1064,Debit,289657.91,2021-08-08
142293,728,Debit,859213.35,2021-02-06
162833,1318,Debit,375220.65,2019-09-23
165538,919,Credit,731326.43,2023-09-22
150708,1214,Credit,963897.35,2020-01-24
151105,942,Credit,520031.07,2022-02-10
150782,529,Credit,803877.04,2022-10-11
190578,1345,Credit,509503.79,2021-11-21
199991,345,Credit,144730.4,2023-10-17
130173,794,Debit,190211.26,2022-03-24
150887,263,Credit,593434.55,2020-07-01
174828,1054,Credit,444237.36,2020-05-30
139082,1494,Credit,989930.91,2022-01-31
177215,243,Credit,677292.8,2021-10-05
119559,642,Debit,487270.1,2024-03-01
147630,1219,Debit,226968.33,2023-04-12
106350,120,Credit,909567.95,2023-09-18
173706,146,Credit,197003.43,2019-07-13
151675,1397,Credit,304527.76,2022-05-12
159745,1272,Debit,818575.87,2021-11-15
199492,513,Debit,402402.31,2019-12-03
184060,1218,Credit,909019.81,2019-10-04
148365,547,Credit,718156.36,2023-10-16
159035,1204,Debit,162178.02,2022-10-02
121656,676,Credit,209713.22,2021-05-19
172493,357,Debit,14922.38,2020-03-28
195734,753,Debit,215714.43,2021-02-24
151237,503,Debit,498032.33,2020-09-16
132220,484,Debit,466203.75,2019-10-10
194412,356,Debit,280645.52,2023-01-03
152031,1163,Debit,340588.74,2020-09-22
107684,381,Credit,685123.9,2020-12-13
162292,1055,Debit,38391.92,2023-05-15
129562,1088,Credit,474440.98,2021-04-22
104516,167,Credit,101518.85,2022-12-13
146770,237,Credit,539296.51,2024-01-16
153036,841,Debit,178819.99,2021-01-01
159947,230,Debit,33894.01,2019-12-21
155440,743,Credit,898541.43,2023-06-05
152005,966,Credit,965113.79,2020-07-15
196311,325,Debit,458682.01,2021-03-09
194587,752,Credit,741668.24,2022-06-03
162749,1147,Debit,820158.41,2023-07-20
136766,1201,Credit,431213.7,2023-02-08
136830,1062,Debit,732752.51,2023-09-06
128868,577,Debit,398638.05,2024-01-23
133838,49,Debit,533755.87,2019-06-10
133999,157,Credit,716923.97,2024-01-02
168770,1437,Debit,797504.54,2021-12-20
100221,1062,Debit,976339.11,2021-06-05
186526,184,Credit,488351.22,2019-09-22
143516,569,Credit,414566.37,2020-06-08
144242,19,Credit,537618.51,2020-01-31
191678,170,Debit,232135.24,2020-09-14
119320,1110,Debit,308315.79,2022-01-22
179030,1229,Debit,986902.76,2023-03-17
113251,499,Credit,530159.86,2023-05-07
189824,1281,Credit,395359.43,2022-10-31
143997,422,Debit,233338.32,2020-04-28
141063,1240,Debit,879320.47,2024-03-28
126199,332,Credit,706742.12,2019-12-28
182957,827,Debit,242525.01,2022-06-23
191642,356,Debit,900361.83,2021-10-28
105437,415,Credit,180116.7,2021-07-14
108124,1038,Debit,327822.84,2021-11-01
153151,1279,Debit,136496.46,2021-04-10
196270,370,Debit,509852.53,2022-07-24
124323,1325,Credit,630479.88,2021-09-18
130365,936,Debit,113481.05,2023-06-18
160155,466,Credit,344182.01,2019-04-02
190289,306,Debit,799911.05,2020-02-17
119285,882,Debit,539120.39,2020-10-01
179195,134,Debit,494356.7,2019-07-04
198378,1467,Credit,560024.85,2020-09-21
131927,1029,Debit,482808.22,2020-03-14
198868,1070,Credit,530300.01,2022-12-14
134500,924,Debit,100228.2,2020-05-10
116089,616,Credit,189288.02,2022-07-12
109465,1089,Credit,469480.94,2022-03-16
113279,529,Debit,997757.86,2024-03-01
149143,1478,Credit,671600.92,2022-03-02
102202,554,Debit,482867.46,2020-10-27
196209,332,Credit,855577.65,2023-01-31
107695,73,Credit,209391.66,2019-09-11
121411,935,Debit,194465.26,2022-02-23
147863,1458,Credit,987707.5,2020-03-28
136774,205,Debit,271553.54,2023-01-25
192048,636,Debit,918039.72,2020-08-15
153243,319,Debit,510546.69,2022-11-22
178606,270,Debit,898571.87,2019-07-17
193312,1069,Credit,407935.42,2022-10-26
190049,768,Debit,899757.97,2021-03-10
173308,603,Credit,232178.78,2023-12-07
190558,722,Credit,442311.29,2021-07-20
199576,1430,Credit,331725.06,2023-03-25
106854,1162,Debit,560803.74,2022-05-19
137934,944,Debit,354147.16,2022-01-09
165614,1289,Credit,748315.25,2023-12-19
137546,1293,Credit,308688.72,2023-04-14
110419,680,Credit,304090.87,2021-05-16
105890,1289,Credit,182216.99,2023-06-15
192655,190,Credit,877259.78,2020-08-06
171362,852,Credit,667006.12,2021-12-16
140748,684,Debit,309023.06,2021-08-30
143116,810,Credit,352397.6,2022-06-03
129335,1276,Debit,839461.28,2023-08-07
163546,588,Credit,829577.97,2022-02-16
122963,1225,Credit,536710.82,2020-03-12
108977,204,Credit,807518.14,2021-05-06
128103,1067,Credit,712326.2,2020-08-11
187891,1481,Debit,964172.89,2023-04-15
174385,924,Credit,700055.08,2022-02-10
149477,1152,Debit,671409.44,2020-03-01
141780,1200,Debit,757220.71,2021-09-21
142213,788,Debit,551208.73,2021-10-14
179109,406,Credit,760404.05,2021-03-19
189230,828,Debit,956324.59,2019-10-22
166193,268,Credit,561999.21,2023-04-18
101132,282,Credit,885180.92,2020-07-15
112439,627,Debit,831872.58,2022-01-22
100319,1424,Debit,484635.56,2024-03-14
161190,739,Credit,704290.17,2023-04-19
150840,1143,Debit,107821.54,2021-08-18
182751,1280,Debit,124361.09,2023-02-01
104880,1278,Debit,667141.14,2023-05-10
100040,634,Credit,247882.76,2024-02-20
100810,191,Debit,772113.29,2019-09-09
189868,119,Debit,189123.83,2019-06-23
170315,683,Debit,479174.22,2023-09-20
136306,1353,Debit,482332.69,2021-01-10
121848,941,Debit,715690.26,2022-09-22
184537,961,Debit,251450.54,2021-11-22
196237,330,Credit,481119.68,2021-11-05
176473,216,Debit,368520.14,2021-12-10
162700,271,Debit,680399.28,2021-10-28
157034,270,Debit,171637.49,2023-10-03
198335,1032,Debit,128625.19,2023-02-20
164970,1009,Debit,182159.72,2020-04-29
160091,139,Debit,824230.86,2023-11-09
152491,1269,Debit,419636.24,2022-11-03
174907,634,Debit,118231.67,2024-01-29
140672,1085,Debit,712596.45,2021-01-09
148159,1305,Credit,336668.28,2022-03-13
178735,375,Debit,295636.28,2021-11-21
146371,490,Credit,162548.46,2023-12-06
161521,1089,Credit,380234.8,2021-04-12
141876,476,Credit,679961.95,2019-10-12
159004,744,Debit,38075.29,2019-07-04
178805,132,Credit,136244.98,2020-02-02
154667,556,Credit,856879.91,2021-10-06
130475,785,Credit,553409.37,2020-01-16
121817,949,Debit,2649.31,2021-04-19
163089,1147,Credit,24314.88,2021-08-29
122490,854,Debit,273007.28,2021-04-08
162197,182,Credit,548763.53,2023-01-02
153513,41,Debit,160527.74,2020-03-10
164549,1190,Debit,293461.22,2021-02-28
115152,961,Credit,116307.4,2022-10-10
145512,459,Debit,413419.01,2020-01-16
128291,286,Debit,808738.6,2022-03-26
119910,1302,Credit,867139.55,2022-10-13
173048,81,Debit,419996.51,2021-02-21
102641,604,Debit,704054.17,2022-01-04
110083,1337,Debit,161291.89,2019-08-27
158169,868,Credit,730277.64,2022-11-15
159677,1490,Debit,439132.95,2020-06-04
180469,1295,Debit,822144.44,2021-09-15
162281,326,Credit,120090.5,2020-07-23
134183,1457,Credit,251250.32,2022-08-17
151888,691,Credit,233.02,2022-01-03
116533,391,Debit,800603.59,2021-09-26
102539,474,Credit,601477.58,2021-01-20
178114,679,Credit,683438.69,2019-04-30
181791,1263,Debit,352541.31,2019-11-15
193895,88,Debit,225604.56,2021-06-12
173300,1246,Debit,296811.68,2023-06-14
175073,1137,Debit,91836.68,2022-01-30
158058,2,Credit,75669.67,2021-10-13
129632,803,Credit,234012.98,2023-03-07
172920,1131,Credit,146790.93,2020-07-31
159836,612,Debit,156016.85,2021-06-20
196124,1281,Credit,444632.21,2021-10-08
151902,645,Debit,751617.63,2022-12-01
168027,957,Debit,811007.75,2022-09-30
199598,892,Credit,798448.39,2019-12-14
183023,999,Debit,799858.32,2019-12-18
126377,989,Debit,294248.91,2021-05-28
160038,22,Debit,644798.41,2019-12-15
194910,307,Debit,441904.81,2019-08-17
183655,141,Credit,113332.99,2023-03-13
197693,1249,Credit,341111.07,2020-11-20
145162,912,Credit,784768.59,2020-08-16
197081,1135,Debit,327123.34,2023-01-08
185685,984,Debit,191063.93,2019-09-19
108395,1068,Debit,369520.94,2020-08-04
184240,1083,Credit,990280.91,2019-05-19
147532,331,Credit,978276.87,2022-04-24
141179,1462,Credit,405711.27,2020-04-30
170864,380,Debit,120048.61,2021-01-15
122897,22,Debit,560660.74,2022-08-11
125216,1119,Credit,262728.73,2024-02-29
132949,798,Credit,679357.29,2023-10-20
162641,1226,Debit,939403.7,2021-08-10
156375,907,Debit,167218.49,2021-11-09
122270,1087,Credit,31045.81,2023-02-25
140909,444,Debit,928389.91,2020-08-17
114558,231,Credit,219661.7,2021-06-26
192818,387,Debit,976517.69,2023-01-25
101544,180,Credit,565164.22,2021-02-14
189110,940,Credit,463481.28,2023-12-06
186464,1375,Credit,578754.29,2022-01-05
131343,957,Credit,72279.4,2023-08-21
178132,1198,Credit,52393.89,2023-04-09
177606,236,Credit,758897.15,2022-05-27
153349,1252,Debit,330604.83,2022-04-17
111944,926,Debit,62998.32,2023-07-30
112118,1046,Credit,297361.97,2022-01-06
121242,1478,Debit,120162.1,2019-08-21
100796,402,Debit,84138.76,2023-05-19
147972,1049,Debit,409429.67,2024-02-18
116938,1258,Credit,935704.74,2019-06-07
165794,454,Credit,98836.48,2019-05-18
126786,1197,Credit,787886.23,2020-06-07
194779,954,Credit,118044.43,2022-09-08
179169,358,Debit,569902.77,2020-12-16
101666,15,Credit,308047.17,2024-02-20
135154,1100,Debit,206495.17,2023-12-24
151016,1048,Debit,633827.9,2021-11-13
173807,1191,Debit,711594.41,2022-09-30
110198,1256,Credit,516309.7,2021-08-21
173279,733,Debit,896974.18,2019-08-03
188994,379,Credit,36238.37,2020-09-12
184685,1056,Debit,610893.6,2021-09-28
118768,1188,Credit,47776.89,2019-04-09
193341,701,Debit,539495.61,2021-08-17
153249,1341,Debit,288211.67,2021-11-13
118308,438,Debit,604947.47,2022-02-08
107210,566,Credit,54817.42,2019-04-27
181031,308,Credit,702508.79,2020-11-03
191648,531,Debit,775805.41,2022-01-24
166954,319,Credit,792309.65,2022-05-03
123970,1377,Debit,285412.06,2021-03-18
173829,1091,Debit,592212.21,2023-01-11
177070,1095,Debit,276262.76,2022-02-13
159757,1445,Debit,960123.46,2019-06-18
142571,858,Credit,326483.49,2020-03-16
183270,213,Credit,401085.21,2019-12-17
120898,1160,Credit,235763.72,2020-10-16
112715,1231,Credit,990498.04,2021-12-02
